"name","code","country_id/id"
"Antioquia","05","base.co"
"Medellín","05001","base.co"
"Atlántico","08","base.co"
"Bogotá D.C","11","base.co"
"Bolívar","13","base.co"
"Boyacá","15","base.co"
"Caldas","17","base.co"
"Caquetá","18","base.co"
"Cauca","19","base.co"
"Cesar","20","base.co"
"Valledupar","20001","base.co"
"Córdoba","23","base.co"
"Cundinamarca","25","base.co"
"Chocó","27","base.co"
"Huila","41","base.co"
"La Guajira","44","base.co"
"Magdalena","47","base.co"
"Meta","50","base.co"
"Nariño","52","base.co"
"Norte de Santander","54","base.co"
"Quindio","63","base.co"
"Armenia","63001","base.co"
"Risaralda","66","base.co"
"Santander","68","base.co"
"Bucaramanga","68001","base.co"
"Sucre","70","base.co"
"Tolima","73","base.co"
"Valle del Cauca","76","base.co"
"Arauca","81","base.co"
"Casanare","85","base.co"
"Putumayo","86","base.co"
"Archipiélago de San Andrés, Providencia y Santa Catalina","88","base.co"
"Amazonas","91","base.co"
"Guainía","94","base.co"
"Guaviare","95","base.co"
"Vaupés","97","base.co"
"Vichada","99","base.co"
